game_id,game_date,team_id,team_name,goals_for,goals_against,shots_for,shots_against,faceoff_win_pct,power_play_pct,penalty_kill_pct,wins,losses,points,point_pct,team_shutouts,hits,blocked_shots,giveaways,takeaways,pims,powerPlayGoals
2025020001,,13,Florida Panthers,3,2,37.0,19.0,0.585714,0.5,1.0,1,0,2,1.0,0,28,15,17,3,11,1
2025020001,,16,Chicago Blackhawks,2,3,19.0,37.0,0.414285,0.0,0.5,0,1,0,0.0,0,27,16,19,4,9,0
2025020002,,3,New York Rangers,0,3,25.0,31.0,0.475,0.0,1.0,0,1,0,0.0,0,34,17,17,4,2,0
2025020002,,5,Pittsburgh Penguins,3,0,31.0,25.0,0.525,0.0,1.0,1,0,2,1.0,1,22,20,18,1,4,0
2025020003,,21,Colorado Avalanche,4,1,23.0,25.0,0.45,0.166666,0.75,1,0,2,1.0,0,25,21,17,2,13,1
2025020003,,26,Los Angeles Kings,1,4,25.0,23.0,0.55,0.25,0.833334,0,1,0,0.0,0,33,14,19,7,17,1
2025020004,,8,Montréal Canadiens,2,5,31.0,27.0,0.406779,0.0,1.0,0,1,0,0.0,0,27,13,13,3,4,0
2025020004,,10,Toronto Maple Leafs,5,2,27.0,31.0,0.59322,0.0,1.0,1,0,2,1.0,0,35,17,12,2,4,0
2025020005,,6,Boston Bruins,3,1,22.0,36.0,0.5,0.5,1.0,1,0,2,1.0,0,33,23,19,3,10,1
2025020005,,15,Washington Capitals,1,3,36.0,22.0,0.5,0.0,0.5,0,1,0,0.0,0,35,11,14,3,4,0
2025020006,,20,Calgary Flames,3,3,22.0,35.0,0.517241,0.25,0.5,1,0,2,1.0,0,35,17,20,4,18,1
2025020006,,22,Edmonton Oilers,3,3,35.0,22.0,0.482758,0.5,0.75,0,0,1,0.5,0,23,18,18,3,8,2
2025020007,,26,Los Angeles Kings,5,5,26.0,35.0,0.37931,1.0,0.666667,1,0,2,1.0,0,37,18,21,3,13,1
2025020007,,54,Vegas Golden Knights,5,5,35.0,26.0,0.620689,0.333333,0.0,0,0,1,0.5,0,36,14,17,8,6,2
2025020008,,6,Boston Bruins,4,3,33.0,24.0,0.584615,0.2,1.0,1,0,2,1.0,0,25,16,15,5,10,1
2025020008,,16,Chicago Blackhawks,3,4,24.0,33.0,0.415384,0.0,0.8,0,0,1,0.5,0,15,6,15,7,14,0
