game_id,team_id,hits,blocked_shots,giveaways,takeaways,pims,powerPlayGoals
2025020001,13,28,15,17,3,11,1
2025020001,16,27,16,19,4,9,0
2025020002,3,34,17,17,4,2,0
2025020002,5,22,20,18,1,4,0
2025020003,21,25,21,17,2,13,1
2025020003,26,33,14,19,7,17,1
2025020004,8,27,13,13,3,4,0
2025020004,10,35,17,12,2,4,0
2025020005,6,33,23,19,3,10,1
2025020005,15,35,11,14,3,4,0
2025020006,20,35,17,20,4,18,1
2025020006,22,23,18,18,3,8,2
2025020007,26,37,18,21,3,13,1
2025020007,54,36,14,17,8,6,2
2025020008,6,25,16,15,5,10,1
2025020008,16,15,6,15,7,14,0
2025020009,3,28,16,14,5,10,0
2025020009,7,24,12,16,3,8,0
2025020010,8,25,14,14,3,8,1
2025020010,17,34,13,17,4,6,1
2025020011,9,37,10,12,2,20,1
2025020011,14,40,18,16,4,22,2
2025020012,4,17,10,22,4,10,0
2025020012,13,27,5,11,2,4,1
2025020013,2,22,13,16,4,25,0
2025020013,5,23,12,21,6,8,2
2025020014,1,25,19,27,4,6,0
2025020014,12,27,13,20,6,4,1
2025020015,19,40,17,12,5,6,0
2025020015,30,19,16,9,3,4,1
2025020016,18,22,19,17,8,4,1
2025020016,29,28,15,18,5,10,0
2025020017,25,21,18,8,2,10,1
2025020017,52,33,8,22,9,14,0
2025020018,21,20,13,22,4,6,1
2025020018,68,19,21,36,0,8,1
2025020019,20,35,7,16,3,10,0
2025020019,23,27,18,17,5,8,0
2025020020,28,22,14,23,5,8,1
2025020020,54,22,17,17,1,8,1
2025020021,24,24,7,12,2,4,0
2025020021,55,29,26,22,7,2,0
2025020022,26,23,11,18,8,13,0
2025020022,52,26,28,18,5,15,1
2025020023,19,29,17,13,8,17,1
2025020023,20,22,21,11,7,13,1
2025020024,6,25,17,15,2,8,0
2025020024,7,32,16,17,1,8,0
2025020025,10,22,16,13,2,10,0
2025020025,17,15,14,13,4,6,1
2025020026,1,27,24,14,6,6,0
2025020026,14,25,17,16,3,8,0
2025020027,9,27,17,22,13,10,0
2025020027,13,28,7,16,5,4,3
2025020028,2,33,22,19,3,4,2
2025020028,15,23,20,17,6,4,0
2025020029,3,30,12,18,8,8,2
2025020029,5,14,18,17,6,6,0
2025020030,4,27,21,17,5,10,1
2025020030,12,24,13,10,2,8,0
2025020031,8,16,8,14,4,17,2
2025020031,16,22,16,14,8,39,1
2025020032,18,20,12,25,7,12,0
2025020032,68,21,20,20,6,14,0
2025020033,29,16,16,11,6,12,1
2025020033,30,18,19,13,6,6,4
2025020034,21,19,8,15,4,9,1
2025020034,25,17,25,22,3,15,0
2025020035,22,22,13,14,2,6,0
2025020035,23,26,14,21,3,12,0
2025020036,24,24,12,14,3,13,2
2025020036,28,20,18,19,3,13,2
2025020037,54,22,14,20,3,11,1
2025020037,55,30,20,17,2,11,1
2025020038,3,18,15,14,6,2,0
2025020038,15,26,18,17,3,4,0
2025020039,7,11,11,20,7,10,0
2025020039,21,20,21,16,5,6,0
2025020040,6,31,12,16,6,8,0
2025020040,14,21,14,20,9,14,0
2025020041,9,29,15,17,3,10,1
2025020041,18,20,14,12,3,10,0
2025020042,2,14,13,12,3,6,0
2025020042,52,16,24,13,4,8,1
2025020043,10,22,10,22,7,8,0
2025020043,17,18,20,16,11,6,1
2025020044,4,8,14,13,4,10,0
2025020044,13,24,15,17,2,10,1
2025020045,1,15,18,18,5,10,2
2025020045,29,18,12,20,3,4,0
2025020046,19,22,17,16,8,2,1
2025020046,23,29,17,23,6,6,0
2025020047,26,24,10,22,6,12,1
2025020047,30,23,11,20,9,6,3
2025020048,16,31,14,16,2,6,1
2025020048,68,16,3,17,1,6,0
2025020049,10,21,20,17,4,6,0
2025020049,18,18,11,17,4,6,0
2025020050,8,25,23,13,3,8,0
2025020050,55,32,17,13,5,6,1
2025020051,3,18,11,13,2,0,0
2025020051,22,12,23,18,6,6,0
2025020052,14,8,17,19,2,10,1
2025020052,15,23,8,14,4,8,1
2025020053,20,23,18,11,6,6,0
2025020053,54,26,11,13,6,4,0
2025020054,25,15,17,15,5,25,2
2025020054,30,26,16,11,4,11,2
2025020055,12,13,8,21,5,12,0
2025020055,28,21,18,15,4,8,0
2025020056,5,16,26,12,3,12,0
2025020056,24,25,16,14,1,0,2
2025020057,7,28,20,14,6,12,3
2025020057,9,21,10,13,5,10,1
2025020058,13,32,9,15,2,6,0
2025020058,17,15,21,23,3,4,1
2025020059,16,9,9,23,11,4,1
2025020059,19,28,10,13,1,6,0
2025020060,20,21,14,11,5,21,1
2025020060,68,25,17,10,2,17,0
2025020061,3,22,10,13,6,4,0
2025020061,10,18,13,21,2,6,1
2025020062,8,13,17,12,5,4,0
2025020062,18,16,12,15,4,6,1
2025020063,9,19,18,16,4,6,1
2025020063,55,27,21,17,7,4,1
2025020064,1,22,20,10,4,12,1
2025020064,13,27,18,13,3,8,0
2025020065,2,18,13,11,5,8,1
2025020065,22,7,13,17,5,10,1
2025020066,4,15,16,16,4,2,0
2025020066,52,17,9,14,3,8,1
2025020067,21,13,14,19,6,4,0
2025020067,29,12,20,21,2,2,0
2025020068,23,26,15,11,3,8,2
2025020068,25,21,20,11,4,6,2
2025020069,6,26,20,14,5,12,1
2025020069,54,20,22,13,3,6,2
2025020070,12,19,16,21,4,14,1
2025020070,24,31,16,15,1,10,0
2025020071,5,13,15,15,0,4,1
2025020071,26,23,10,16,3,4,0
2025020072,14,20,13,15,4,6,0
2025020072,17,27,22,16,4,6,0
2025020073,15,23,14,20,6,4,1
2025020073,30,18,17,13,1,10,0
2025020074,16,19,10,13,6,12,1
2025020074,23,26,10,11,2,8,1
2025020075,28,25,12,17,7,18,2
2025020075,68,14,8,17,4,18,1
2025020076,7,23,20,13,4,26,2
2025020076,13,29,17,15,3,12,0
2025020077,2,28,19,13,2,2,0
2025020077,9,29,9,22,4,6,1
2025020078,1,24,15,10,8,6,1
2025020078,22,20,13,23,4,6,0
2025020079,10,29,15,28,2,4,1
2025020079,55,26,19,19,7,8,1
2025020080,3,24,13,11,4,13,1
2025020080,8,16,11,13,4,13,1
2025020081,4,32,16,15,4,9,0
2025020081,30,19,15,14,1,9,0
2025020082,14,14,15,21,3,13,1
2025020082,29,23,18,18,3,17,0
2025020083,19,24,11,13,8,4,0
2025020083,25,31,13,20,3,4,0
2025020084,18,19,7,10,5,11,0
2025020084,52,16,16,10,2,13,2
2025020085,6,24,29,18,1,10,0
2025020085,21,12,17,12,3,4,0
2025020086,12,18,20,16,7,2,0
2025020086,26,29,20,21,4,6,1
2025020087,20,22,10,14,2,16,1
2025020087,54,14,21,19,3,16,3
2025020088,5,11,21,20,4,4,0
2025020088,28,25,14,15,5,2,0
2025020089,15,28,1,18,3,11,1
2025020089,23,22,23,17,5,13,1
2025020090,17,24,11,16,4,2,0
2025020090,22,19,21,19,3,0,0
2025020091,16,26,12,18,5,10,0
2025020091,24,30,9,18,8,4,1
2025020092,6,24,19,18,8,17,1
2025020092,68,23,21,19,3,15,1
2025020093,3,34,21,9,2,6,0
2025020093,30,20,19,11,3,2,0
2025020094,4,20,11,18,3,32,2
2025020094,55,23,11,16,4,28,1
2025020095,7,15,9,15,6,6,0
2025020095,8,22,21,11,3,6,0
2025020096,20,22,11,18,4,6,0
2025020096,52,15,19,19,3,10,1
2025020097,12,15,18,12,1,8,0
2025020097,54,13,20,18,2,8,0
2025020098,1,21,17,25,6,11,1
2025020098,10,22,16,17,7,9,0
2025020099,9,20,9,13,1,6,1
2025020099,22,20,17,17,5,6,2
2025020100,2,18,19,21,4,6,2
2025020100,28,22,6,21,4,6,0
2025020101,5,18,17,16,4,6,2
2025020101,23,26,20,19,2,8,0
2025020102,15,18,16,14,8,4,1
2025020102,55,13,19,15,4,4,0
2025020103,6,23,7,14,11,15,1
2025020103,13,26,16,18,2,19,1
2025020104,19,20,9,12,3,11,1
2025020104,26,13,14,18,7,11,1
2025020105,18,16,11,16,5,20,0
2025020105,24,23,9,13,7,12,0
2025020106,25,21,14,17,5,4,0
2025020106,29,35,5,14,9,4,2
2025020107,21,20,8,17,7,4,0
2025020107,68,28,19,21,4,2,1
2025020108,1,8,19,13,5,6,1
2025020108,30,25,20,9,4,4,0
2025020109,7,19,18,9,3,4,1
2025020109,17,15,15,12,4,10,0
2025020110,8,17,25,13,6,10,1
2025020110,20,23,13,12,3,6,0
2025020111,6,18,15,18,4,11,2
2025020111,24,17,22,19,1,9,1
2025020112,4,21,16,12,4,12,0
2025020112,9,17,16,11,3,8,0
2025020113,14,18,7,12,4,12,0
2025020113,16,18,15,14,2,6,1
2025020114,5,18,19,13,9,8,2
2025020114,13,26,9,9,4,6,2
2025020115,2,14,22,10,6,32,0
2025020115,17,28,11,9,2,16,1
2025020116,3,24,10,11,3,15,1
2025020116,28,26,19,20,1,13,1
2025020117,19,32,5,15,4,12,1
2025020117,68,15,9,16,3,12,2
2025020118,18,21,19,10,8,10,0
2025020118,23,25,20,12,3,6,0
2025020119,25,18,14,15,5,6,2
